"Sample","Class","El_comp","Mean_NOSC","Min_NOSC","Max_NOSC","StDev_NOSC"
"ABBY_A_CHCl3","Lipid","CHO",-1.47535456800049,-1.93939393939394,-0.916666666666667,0.229973531537355
"ABBY_A_CHCl3","Lignin","CHO",-0.823300315100254,-1.2,0.0800000000000001,0.292441169733539
"ABBY_A_CHCl3","Protein","CHO",-1.03156523565189,-1.375,-0.705882352941177,0.169560567684034
"ABBY_A_CHCl3","Lignin","CHONP",-0.6,-0.6,-0.6,NA
"ABBY_A_CHCl3","Other","CHONS",-0.75,-0.75,-0.75,NA
"ABBY_A_CHCl3","Protein","CHOP",-1.47415042009952,-1.6,-1.31707317073171,0.130722816514913
"ABBY_A_CHCl3","ConHC","CHO",-0.0883222643896267,-0.32258064516129,0.117647058823529,0.180152559968816
"ABBY_A_CHCl3","UnsatHC","CHO",-1.24395426492345,-1.29411764705882,-1.2,0.0408093412322788
"ABBY_A_CHCl3","Lipid","CHOS",-1.59514642831538,-1.95555555555556,-1.17073170731707,0.175698019590959
"ABBY_A_CHCl3","Protein","CHONS",-0.852222222222222,-1.25,0.222222222222222,0.608144313607255
"ABBY_A_CHCl3","Protein","CHOS",-0.545454545454546,-0.545454545454546,-0.545454545454546,NA
"ABBY_A_CHCl3","Lipid","CHON",-1.40478036163781,-1.63636363636364,-1.03448275862069,0.152416568070975
"ABBY_A_CHCl3","Lignin","CHON",-0.408029878618114,-1.04761904761905,0.588235294117647,0.874310119794392
"ABBY_A_CHCl3","Protein","CHON",-1.13826107137604,-1.33333333333333,-0.975609756097561,0.114891741588481
"ABBY_A_CHCl3","Lipid","CHONP",-1.67358839862515,-1.8974358974359,-1.25,0.143374582356054
"ABBY_A_CHCl3","Lipid","CHONSP",-1.64303513208305,-1.88461538461539,-0.875,0.224584381382181
"ABBY_A_CHCl3","Lipid","CHOP",-1.78002385121438,-2.18181818181818,-1.31914893617021,0.21043817926926
"ABBY_A_CHCl3","UnsatHC","CHONS",-0.902429214929215,-1.13513513513514,-0.190476190476191,0.30536488076634
"ABBY_A_CHCl3","Lipid","CHONS",-1.44051785753643,-1.88679245283019,-0.857142857142857,0.191714508523175
"ABBY_A_CHCl3","Lignin","CHONSP",-0.857142857142857,-0.857142857142857,-0.857142857142857,NA
"ABBY_A_CHCl3","Other","CHONP",-1.65614035087719,-2,-1.36842105263158,0.319510243868974
"ABBY_A_CHCl3","AminoSugar","CHON",-0.245454545454546,-0.4,-0.0909090909090908,0.218560277821297
"ABBY_A_CHCl3","Protein","CHONP",-1.59019063547194,-1.73333333333333,-1.38888888888889,0.118096310783601
"ABBY_A_CHCl3","UnsatHC","CHOS",-1.25609352271755,-1.34615384615385,-1.17241379310345,0.0743908268043258
