"Sample","Mean_NOSC","Min_NOSC","Max_NOSC"
"ABBY_A_CHCl3",-1.09209848828352,-2.18181818181818,0.588235294117647
"ABBY_AB_CHCl3",-0.978171857769916,-2.07142857142857,2
"ABBY_BC_CHCl3",-0.834886578890654,-2.08695652173913,1.8
"ABBY_Bt1_CHCl3",-0.840888202651739,-2.18181818181818,1.85714285714286
"BARR_Af_CHCl3",-0.771890902269973,-2.18181818181818,2
"BARR_OACfjj_CHCl3",-0.977249613628356,-2.18181818181818,0.625
"BARR_Oaf_CHCl3",-0.850893843649028,-2.18181818181818,2
"BART_A_CHCl3",-1.04926835960071,-2.18181818181818,0.8
"BART_BC_CHCl3",-0.73866924467663,-2.05882352941176,0.8
"BART_Bgs1_CHCl3",-1.09673756074136,-1.95348837209302,0
"BART_Bgs3_CHCl3",-0.835405804668888,-2.10526315789474,0.8
"BART_Bs_CHCl3",-0.904012668012013,-2.18181818181818,3.33333333333333
"BLAN_AB_CHCl3",-0.885317339380248,-2.10526315789474,0.8
"BLAN_Ap1_CHCl3",-0.939510520038564,-2.15384615384615,1.28571428571429
"BLAN_Ap2_CHCl3",-0.797364894426742,-2.14285714285714,1.71428571428571
"BLAN_Bt1_CHCl3",-0.953475531688991,-2.10526315789474,0.8
"BLAN_Bt3_CHCl3",-0.928944816132952,-2.10526315789474,0.9
"BLAN_Bt4_CHCl3",-0.841825372241964,-2.10526315789474,3
"BONA_Bfgjj_CHCl3",-1.0397597385877,-2,0.117647058823529
"BONA_Cfgjj_CHCl3",-1.20786222059286,-2.18181818181818,0.266666666666667
"BONA_Oea_CHCl3",-0.935399363755942,-2.18181818181818,0.588235294117647
"CLBJ_A1_CHCl3",-1.16007974104235,-2.09523809523809,-0.105263157894737
"CLBJ_A2_CHCl3",-0.682522833284801,-2.05882352941176,0.9
"CLBJ_Bt1_CHCl3",-0.901239868221313,-2,1.05882352941176
"CLBJ_Bt4_CHCl3",-0.923534652343192,-2.09090909090909,0.5
"CLBJ_EA_CHCl3",-0.825775192368896,-2.08695652173913,0.666666666666667
"CPER_A1_CHCl3",-1.03373246984214,-2.15384615384615,0.5
"CPER_A2_CHCl3",-0.803726739429545,-2.09090909090909,0.9
"CPER_AB_CHCl3",-0.887093600002935,-2.15384615384615,0.9
"CPER_Bk1_CHCl3",-0.893674034734516,-2,0.888888888888889
"CPER_Btk3_CHCl3",-0.951729450121811,-2.10526315789474,1.27272727272727
"CPER_Bw1_CHCl3",-0.824987640582976,-2,2
"DCFS_A1_CHCl3",-1.06629403224267,-2.15384615384615,1.14285714285714
"DCFS_A2_CHCl3",-1.10910369433167,-2.15384615384615,1.86666666666667
"DCFS_B.A_CHCl3",-1.03551708312463,-2.09090909090909,2.13333333333333
"DCFS_Bk2_CHCl3",-0.958683576111436,-2.07407407407407,2
"DCFS_Bw1_CHCl3",-0.869478241222202,-2.04761904761905,2.66666666666667
"DCFS_Bw2_CHCl3",-0.879175059819835,-2.09090909090909,2
"DEJU_2BC1_CHCl3",-1.18300360748638,-1.94117647058824,-0.6
"DEJU_A_CHCl3",-0.796762371266133,-2.18181818181818,0.888888888888889
"DEJU_Bw1_CHCl3",-1.06525417618066,-2,0.6
"DELA_A_CHCl3",-1.2055467614603,-2,-0.173913043478261
"DELA_Btg1_CHCl3",-0.820107228019444,-2,1.75
"DELA_Btg3_CHCl3",-0.999333526148011,-2,0.608695652173913
"DSNY_A_CHCl3",-0.80399343409121,-2.14285714285714,1
"DSNY_B1h_CHCl3",-0.748139090467104,-2,2.66666666666667
"DSNY_Bh1_CHCl3",-1.18301402409877,-2.15384615384615,0.444444444444445
"DSNY_Bh2_CHCl3",-0.953040327230059,-2.18181818181818,0.4
"GRSM_A_CHCl3",-1.22175915643597,-2.18181818181818,0.266666666666667
"GRSM_AB_CHCl3",-1.26395038863628,-2.18181818181818,-0.2
"GRSM_Bt1_CHCl3",-0.789387293378821,-2.18181818181818,0.4
"GRSM_Bt2_CHCl3",-0.769606480263244,-2,0.714285714285714
"HARV_A_CHCl3",-0.839116821352724,-2.18181818181818,1.33333333333333
"HARV_Bw1_CHCl3",-1.08318523397096,-2.10526315789474,1.11111111111111
"HARV_Bw3_CHCl3",-0.922648360023918,-2.10526315789474,0.8
"HEAL_Afjj_CHCl3",-1.02537509397791,-2.18181818181818,1
"HEAL_BCfgjj_CHCl3",-1.05713686860348,-2.18181818181818,1
"HEAL_Oae_CHCl3",-0.830091446834834,-2.18181818181818,0.888888888888889
"JORN_2Bk1_CHCl3",-0.92998474523454,-1.94594594594595,0.705882352941177
"JORN_2Bk3_CHCl3",-0.962763437403615,-2.07142857142857,0.37037037037037
"JORN_Ak_CHCl3",-1.02660522386622,-2.08695652173913,0.416666666666667
"JORN_Bk1_CHCl3",-0.959515375590908,-2,0.666666666666667
"KONA_Ap_CHCl3",-1.02755522815474,-2.08695652173913,0.714285714285714
"KONA_Bt1_CHCl3",-0.808921615659837,-2,0.434782608695652
"KONA_Bt3_CHCl3",-1.02771540987079,-2.06666666666667,0.608695652173913
"KONA_Btk_CHCl3",-1.01632509277168,-2.07407407407407,0.571428571428572
"KONZ_A_CHCl3",-1.01499404110188,-2,1.2
"KONZ_Bt1_CHCl3",-0.731477534040858,-2.08695652173913,0.888888888888889
"KONZ_Bt2_CHCl3",-1.00463722083516,-2.10526315789474,0.75
"KONZ_Bt3_CHCl3",-0.876663340831255,-2.09523809523809,0.470588235294118
"LENO_A1_CHCl3",-0.825590310786223,-2,2.4
"LENO_A2_CHCl3",-1.12328460702524,-2,0.5
"LENO_Bg_CHCl3",-0.799843891369925,-2.07407407407407,0.9
"LENO_Btg1_CHCl3",-0.980078542733626,-2,0.235294117647059
"LENO_Btg3_CHCl3",-0.675398744627401,-2.1,0.909090909090909
"MLBS_Bg_CHCl3",-0.763488517685852,-2.08695652173913,2
"MLBS_Bw1_CHCl3",-0.936735072495686,-2.18181818181818,1.8
"MOAB_A_CHCl3",-1.13221995883592,-2,0.416666666666667
"MOAB_Bk1_CHCl3",-0.921166153456826,-1.93548387096774,1.11111111111111
"MOAB_Bk3_CHCl3",-1.05904808634767,-2,0.631578947368421
"NGPRL_A_CHCl3",-0.946376454767284,-2,2.8
"NGPRL_Bt1_CHCl3",-0.651083913794328,-2,1.125
"NGPRL_Btk1_CHCl3",-1.00967144465261,-2.09090909090909,0.48
"NIWO_A_CHCl3",-1.14763708838655,-2.18181818181818,0.375
"NIWO_AB_CHCl3",-0.968967171476504,-2.18181818181818,0.470588235294118
"NIWO_Bw1_CHCl3",-0.97585511895687,-2.18181818181818,0.32258064516129
"NIWO_Bw2_CHCl3",-0.838860255941258,-2.08695652173913,1.2
"OAES_Ak_CHCl3",-0.834937809065086,-2,1.66666666666667
"OAES_Bk1_CHCl3",-0.982620405555252,-1.93103448275862,0.347826086956522
"OAES_Bk2_CHCl3",-1.02834513896299,-1.93103448275862,0.769230769230769
"ONAQ_Ak_CHCl3",-0.626562491736029,-2.18181818181818,2.16666666666667
"ONAQ_Bk1_CHCl3",-1.01640382286287,-2,0.909090909090909
"ONAQ_Bk2_CHCl3",-1.17159698711918,-2.07407407407407,0.583333333333333
"ONAQ_Bk3_CHCl3",-0.953622231908431,-2,0.315789473684211
"ORNL_A_CHCl3",-0.969400979378839,-2.18181818181818,2.8
"ORNL_Bt1_CHCl3",-0.732662107211223,-2.1,0.933333333333333
"ORNL_Bt2_CHCl3",-0.965630065669865,-2,0.363636363636364
"ORNL_Bt3_CHCl3",-0.955699567599615,-2,0.666666666666667
"OSBS_A_CHCl3",-0.86583898161613,-2,0.714285714285714
"OSBS_A.B_CHCl3",-0.982431937976784,-2,0.625
"OSBS_B_CHCl3",-1.00889361844998,-2,0.714285714285714
"OSBS_Bw3_CHCl3",-1.17693809349288,-2,0.37037037037037
"RMNP_B.C_CHCl3",-1.02238131993989,-1.94594594594595,0.074074074074074
"RMNP_Bt_CHCl3",-0.916672494648221,-2.08695652173913,0.545454545454545
"SCBI_A_CHCl3",-1.07865181598131,-2,0.923076923076923
"SCBI_BA_CHCl3",-1.01459542722811,-2.14814814814815,1.5
"SCBI_Bt1_CHCl3",-1.23500345011193,-2.06896551724138,-0.230769230769231
"SCBI_Bt2_CHCl3",-0.949104101369742,-2.09090909090909,0.941176470588236
"SCBI_Bt3_CHCl3",-0.971938491489346,-2,0.4
"SERC_A_CHCl3",-1.07430299027149,-2.18181818181818,0.571428571428572
"SERC_AB_CHCl3",-1.04701188636446,-2.18181818181818,0.32258064516129
"SERC_Bt1_CHCl3",-0.839578307438014,-2.10526315789474,2.8
"SERC_Btg1_CHCl3",-0.915335250041144,-2.10526315789474,0.333333333333333
"SERC_Btg3_CHCl3",-0.762340596423148,-2.1,1.38461538461538
"SJER_A_CHCl3",-1.18236709532994,-2,0.32258064516129
"SJER_AB_CHCl3",-0.917165432866605,-1.90476190476191,1.38461538461538
"SJER_Bw1_CHCl3",-0.941822593158721,-1.91304347826087,0.551724137931035
"SOAP_A_CHCl3",-1.02012077447991,-2.08695652173913,0.8
"SOAP_AB_CHCl3",-1.0005800234779,-2.18181818181818,0.714285714285714
"SOAP_Bt1_CHCl3",-1.07422617722895,-1.94285714285714,0.0869565217391304
"SOAP_Bt3_CHCl3",-0.708124070779506,-2,1.71428571428571
"SOAP_Bt4_CHCl3",-0.953845227555571,-2,0.4
"SRER_Ak1_CHCl3",-0.955005290235916,-2,0.285714285714286
"SRER_Ak2_CHCl3",-0.918816784417587,-1.90476190476191,0.666666666666667
"SRER_Bw_CHCl3",-0.950648888543021,-2,0.4
"SRER_Ck_CHCl3",-0.954291930367614,-1.95348837209302,1.66666666666667
"STEI_A1_CHCl3",-1.01057007648367,-2.18181818181818,2
"STEI_Bc2_CHCl3",-0.775316187572552,-2.14285714285714,0.947368421052631
"STEI_Bs1_CHCl3",-0.803735085988724,-2.18181818181818,1.4
"STER_AP1_CHCl3",-0.913486928127838,-2.18181818181818,1.29411764705882
"STER_AP2_CHCl3",-0.831251092319269,-2.18181818181818,0.631578947368421
"STER_Bk_CHCl3",-0.55707218466681,-2.18181818181818,2.2
"STER_Bkt2_CHCl3",-0.989586522152392,-2.10526315789474,0.333333333333333
"STER_Btk1_CHCl3",-0.809742812679792,-2.15384615384615,0.888888888888889
"TALL_A1_CHCl3",-0.647624992526241,-2.18181818181818,2.8
"TALL_A2_CHCl3",-0.622366800775019,-2.18181818181818,1.8
"TALL_AB_CHCl3",-0.809289141214724,-2.18181818181818,3.11111111111111
"TALL_Bt1_CHCl3",-0.677279482823517,-2.18181818181818,0.909090909090909
"TALL_Bt3_CHCl3",-0.880857592720373,-2.08695652173913,0.666666666666667
"TOOL_Af_CHCl3",-1.0373843848719,-2.18181818181818,1
"TOOL_BCfjj_CHCl3",-1.11825607298006,-2.18181818181818,0.352941176470588
"TOOL_Oaef_CHCl3",-0.853493530476292,-2.18181818181818,1
"TREE_A1_CHCl3",-1.08121106829393,-2.18181818181818,0.588235294117647
"TREE_BC1_CHCl3",-0.69246233218111,-2.18181818181818,0.909090909090909
"TREE_Bs2_CHCl3",-0.710559353155389,-2.18181818181818,0.933333333333333
"UNDE_A_CHCl3",-0.931410930024102,-2.18181818181818,0.444444444444445
"UNDE_Bhs_CHCl3",-0.894669752352182,-2.18181818181818,1
"UNDE_Bs1_CHCl3",-0.797713046581629,-2.09090909090909,0.909090909090909
"UNDE_Bt1_CHCl3",-0.686144272301333,-2.08695652173913,1.17647058823529
"WOOD_2Ck_CHCl3",-0.750197969988291,-2.14285714285714,0.909090909090909
"WOOD_Apk_CHCl3",-0.807948098733824,-2.18181818181818,2
"WOOD_Bk1_CHCl3",-0.750912312396353,-2.18181818181818,1.17647058823529
"WREF_A2_CHCl3",-0.729803669998581,-2.18181818181818,2
"WREF_Bw1_CHCl3",-0.72257966015728,-2.08695652173913,0.909090909090909
"WREF_Bw2_CHCl3",-0.744015982400566,-2.14285714285714,0.909090909090909
