"Sample","Class","El_comp","Mean_NOSC","Min_NOSC","Max_NOSC","StDev_NOSC"
"ABBY_A_H2O","Lipid","CHOS",-1.2095853776065,-1.69230769230769,-0.823529411764706,0.246189295479482
"ABBY_A_H2O","Lignin","CHO",-0.234395487142896,-1.05263157894737,0.5,0.318169409464433
"ABBY_A_H2O","Lignin","CHON",0.0250210166334645,-0.714285714285714,0.625,0.275952140004702
"ABBY_A_H2O","Protein","CHO",-0.853843569234606,-1.4,-0.454545454545454,0.202875442716982
"ABBY_A_H2O","Lignin","CHOS",-0.484065799591253,-1.13333333333333,0.25,0.298697921161326
"ABBY_A_H2O","Tannin","CHO",0.410149812782077,-0.133333333333334,0.875,0.214435912991485
"ABBY_A_H2O","Lipid","CHO",-1.23181889229672,-1.77777777777778,-0.928571428571429,0.206069742435432
"ABBY_A_H2O","Protein","CHON",-0.430849423743766,-1.375,0.153846153846154,0.266505255456194
"ABBY_A_H2O","AminoSugar","CHO",-0.415468901145463,-0.714285714285714,-0.125,0.134798466922235
"ABBY_A_H2O","ConHC","CHO",0.474072645585842,-0.516129032258065,1.5,0.283397888475076
"ABBY_A_H2O","Carb","CHO",-0.0523502130075124,-0.363636363636363,0.210526315789474,0.147904586241011
"ABBY_A_H2O","Protein","CHOS",-0.955410109473623,-1.375,-0.571428571428571,0.249398737137399
"ABBY_A_H2O","Tannin","CHON",0.484979944548056,0.1,1.42857142857143,0.27032471567775
"ABBY_A_H2O","AminoSugar","CHON",-0.188771539121213,-0.75,0.428571428571428,0.236223694715804
"ABBY_A_H2O","AminoSugar","CHOP",-0.839250085999312,-1.125,-0.5,0.156151638897253
"ABBY_A_H2O","Lignin","CHOP",-0.66533578839247,-1.10344827586207,-0.210526315789473,0.209427388121959
"ABBY_A_H2O","Protein","CHOP",-1.1708555106374,-1.68421052631579,-0.761904761904762,0.207328927701208
"ABBY_A_H2O","Lipid","CHONS",-0.982041727952659,-1.46153846153846,-0.666666666666667,0.232130957042885
"ABBY_A_H2O","AminoSugar","CHOS",-0.6,-0.666666666666667,-0.533333333333333,0.0666666666666669
"ABBY_A_H2O","Carb","CHON",0.249903040081611,-0.166666666666667,1.71428571428571,0.429376393394746
"ABBY_A_H2O","Lipid","CHOP",-1.57473766169418,-2.08695652173913,-1.25925925925926,0.331239901701791
"ABBY_A_H2O","Protein","CHONSP",-1.36787454605267,-1.8,-1,0.2205624777568
"ABBY_A_H2O","Lipid","CHON",-0.865296238024803,-1.63265306122449,-0.526315789473684,0.303174787887298
"ABBY_A_H2O","Tannin","CHOP",-0.189133986928105,-0.4,0,0.140227769734102
"ABBY_A_H2O","ConHC","CHON",-0.152514103945605,-0.583333333333333,0.714285714285714,0.284524958154924
"ABBY_A_H2O","UnsatHC","CHONS",-0.622149404380803,-1.03225806451613,-0.4,0.168747723998256
"ABBY_A_H2O","Other","CHO",1.5,1.5,1.5,NA
"ABBY_A_H2O","Protein","CHONP",-0.937098501988208,-1.41666666666667,-0.5,0.29329057418149
"ABBY_A_H2O","UnsatHC","CHON",-0.655092966496499,-0.96,-0.448979591836735,0.176837354671273
"ABBY_A_H2O","Other","CHONSP",-1.27763021292433,-1.84615384615385,-0.705882352941177,0.430441147747225
"ABBY_A_H2O","Lipid","CHONP",-0.982456140350877,-1,-0.947368421052632,0.030386856273138
"ABBY_A_H2O","Protein","CHONS",-0.569159292744663,-1.15384615384615,0,0.313536141162916
"ABBY_A_H2O","Lipid","CHOSP",-1.43320105820106,-2,-1.11111111111111,0.397321118938508
"ABBY_A_H2O","Carb","CHOP",-0.429285714285714,-0.64,-0.16,0.18769955367283
"ABBY_A_H2O","Lignin","CHONP",-0.750447537384386,-1.02702702702703,-0.25,0.213317204947776
"ABBY_A_H2O","Protein","CHOSP",-1.10390909090909,-1.6,-0.625,0.421607842236652
