"Sample","Mean_NOSC","Min_NOSC","Max_NOSC"
"ABBY_A_H2O",-0.493277353229215,-2.08695652173913,1.71428571428571
"ABBY_AB_H2O",-0.50250778627289,-2.08695652173913,1.71428571428571
"ABBY_BC_H2O",-0.401287482666047,-2.18181818181818,2.14285714285714
"ABBY_Bt1_H2O",-0.430298301281802,-2.08695652173913,2.6
"BARR_Af_H2O",-0.237622951032713,-2,2
"BARR_OACfjj_H2O",-0.235929192793542,-1.84615384615385,1.8
"BARR_Oaf_H2O",-0.327069981071586,-1.83333333333333,1.73333333333333
"BART_A_H2O",-0.343004808840986,-1.81818181818182,1.5
"BART_BC_H2O",-0.253877340421312,-2.18181818181818,2.18181818181818
"BART_Bgs1_H2O",-0.507103618458533,-2,1.77777777777778
"BART_Bgs3_H2O",-0.464915227141113,-2.2,2
"BART_Bs_H2O",-0.42169683900277,-2.2,1.5
"BLAN_AB_H2O",-0.717887811659259,-2,1.33333333333333
"BLAN_Ap1_H2O",-0.31773031781563,-2,2
"BLAN_Ap2_H2O",-0.538418484690465,-2,1.5
"BLAN_Bt1_H2O",-0.461467023453837,-2.11111111111111,2.85714285714286
"BLAN_Bt3_H2O",-0.468656624346167,-2.08695652173913,1.88235294117647
"BLAN_Bt4_H2O",-0.49413716495045,-2.08695652173913,1.88235294117647
"BONA_Bfgjj_H2O",-0.264567987028538,-1.84615384615385,2.28571428571429
"BONA_Cfgjj_H2O",-0.243971719220539,-2,2.28571428571429
"BONA_Oea_H2O",-0.305079106007746,-2.1,2
"CLBJ_A1_H2O",-0.267573075352297,-2,2.28571428571429
"CLBJ_A2_H2O",-0.388844430772824,-2.14285714285714,1.5
"CLBJ_Bt1_H2O",-0.326410860886128,-2.1,1.5
"CLBJ_Bt4_H2O",-0.405811200547223,-2,1.5
"CLBJ_EA_H2O",-0.458824200510168,-2,1.71428571428571
"CPER_A1_H2O",-0.336348291875549,-2,2.28571428571429
"CPER_A2_H2O",-0.372291749108483,-2.2,2.28571428571429
"CPER_AB_H2O",-0.397326575934579,-2.2,1.875
"CPER_Bk1_H2O",-0.502306905851039,-2.1,1.2
"CPER_Btk3_H2O",-0.395067745995636,-2.44444444444444,1.53846153846154
"CPER_Bw1_H2O",-0.448477889562312,-2.1,1.42857142857143
"DCFS_A1_H2O",-0.20830413444392,-2.2,2.5
"DCFS_A2_H2O",-0.199625793904001,-2.2,2.4
"DCFS_B.A_H2O",-0.103999879218434,-2,1.625
"DCFS_Bk2_H2O",-0.467681914702044,-2.2,1.73333333333333
"DCFS_Bw1_H2O",-0.359595000990629,-2,1.5
"DCFS_Bw2_H2O",-0.328141553169269,-2,1.71428571428571
"DEJU_2BC1_H2O",-0.38767165794368,-2,1.42857142857143
"DEJU_A_H2O",-0.291101693870619,-1.89473684210526,2.4
"DEJU_Bw1",-0.428392144817605,-2,1.5
"DELA_A_H2O",-0.484483875493977,-2,1.86666666666667
"DELA_Btg1_H2O",-0.520098718663387,-2,1.52941176470588
"DELA_Btg3_H2O",-0.358045714284172,-2.2,2.72727272727273
"DSNY_A_H2O",-0.372892179322473,-2,2.28571428571429
