"Sample","Mean_NOSC","Min_NOSC","Max_NOSC"
"ABBY_A_MeOH",-0.557334480341755,-2.25,2.18181818181818
"ABBY_AB_MeOH",-0.51823563775613,-2.25,2.88888888888889
"ABBY_BC_MeOH_p1",-0.38118431120568,-2.25,2.22222222222222
"ABBY_Bt1_MeOH_p1",-0.407979718081032,-2.25,2.22222222222222
"BARR_Af_MeOH",-0.54607439269446,-2.25,2
"BARR_OACfjj_MeOH",-0.689259177256325,-2.22222222222222,1.5
"BARR_Oaf_MeOH",-0.483998520568448,-2.25,2.33333333333333
"BART_A_MeOH",-0.459694967855468,-2.25,2.18181818181818
"BART_BC_MeOH",-0.349662158569912,-2.25,2.22222222222222
"BART_Bgs1_MeOH",-0.467821628062157,-2.25,2.4
"BART_Bgs3_MeOH",-0.45554941364317,-2.25,2.88888888888889
"BART_Bs_MeOH",-0.627124619920258,-2.25,1.875
"BLAN_AB_MeOH",-0.564592974247043,-2.25,2
"BLAN_Ap1_MeOH",-0.680900835409896,-2.25,1.71428571428571
"BLAN_Ap2_MeOH",-0.384231399388389,-2.25,2.46153846153846
"BLAN_Bt1_MeOH",-0.406262953660004,-2.25,3.16666666666667
"BLAN_Bt3_MeOH",-0.487673611849834,-2.25,2.18181818181818
"BLAN_Bt4_MeOH",-0.542576316777594,-2.25,1.33333333333333
"BONA_Bfgjj_MeOH",-0.77888490912142,-2.25,2
"BONA_Cfgjj_MeOH",-0.738231308084838,-2.25,1
"BONA_Oea_MeOH",-0.477213985263034,-2.125,2
"CLBJ_A1_MeOH",-0.661579209297206,-2,2.33333333333333
"CLBJ_A2_MeOH",-0.356611172769672,-2,2.14285714285714
"CLBJ_Bt1_MeOH",-0.405268118364599,-2.25,2.22222222222222
"CLBJ_Bt4_MeOH",-0.441637171716005,-2.25,2.22222222222222
"CLBJ_EA_MeOH",-0.374690378004237,-2.25,2.66666666666667
"CPER_A1_MeOH",-0.582035736422058,-2.25,1.71428571428571
"CPER_A2_MeOH",-0.622886397257362,-2.25,1.71428571428571
"CPER_AB_MeOH",-0.473248647770019,-2.25,2.18181818181818
"CPER_Bk1_MeOH",-0.645920976787493,-2.25,1.46666666666667
"CPER_Btk3_MeOH",-1.1354872233105,-2.11764705882353,-0.181818181818182
"CPER_Bw1_MeOH",-0.743564047289151,-2.25,2.36363636363636
"DCFS_A1_MeOH",-0.506568313127553,-2.25,3.33333333333333
"DCFS_A2_MeOH",-0.474619606499537,-2.25,1.75
"DCFS_B.A_MeOH",-0.399450413774844,-2.25,2
"DCFS_Bk2_MeOH",-0.403185733915718,-2.25,2.83333333333333
"DCFS_Bw1_MeOH",-0.567955537137743,-2.25,1.75
"DCFS_Bw2_MeOH",-0.485979106968367,-2.25,1.83333333333333
"DEJU_2BC1_MeOH",-0.457409916268597,-2.25,2.83333333333333
"DEJU_A_MeOH",-0.498317451588181,-2.125,2
"DEJU_Bw1_MeOH",-0.509644834751844,-2.25,1.2
"DELA_A_MeOH",-0.449902006241954,-2.25,2.18181818181818
"DELA_Btg1_MeOH",-0.431145491348262,-2.25,2.22222222222222
"DELA_Btg3_MeOH",-0.465738028536687,-2.25,1.71428571428571
"DSNY_A_MeOH",-0.530278560084957,-2.25,2
"DSNY_B1h_MeOH",-0.412864823521414,-2.25,2.18181818181818
"DSNY_Bh1_MeOH",-0.573260861108594,-2.25,1.71428571428571
"DSNY_Bh2_MeOH",-0.464624034713478,-2.25,1.75
"GRSM_A_MeOH",-0.65176197729948,-2.25,2.4
"GRSM_AB_MeOH",-0.623102533970649,-2.25,1.625
"GRSM_Bt1_MeOH",-0.547797959453939,-2.25,1.6
"GRSM_Bt2_MeOH",-0.530744039377761,-2.25,2.18181818181818
"HARV_A_MeOH",-0.30435555274194,-1.9,2
"HARV_Bw1_MeOH",-0.574142684268336,-2.25,2.18181818181818
"HARV_Bw3_MeOH",-0.46936938328742,-2.25,2.18181818181818
"HEAL_Afjj_MeOH",-0.739362494609809,-2.25,2
"HEAL_BCfgjj_MeOH",-0.69894604941603,-2.25,1.2
"HEAL_Oae_MeOH",-0.39226228724698,-2.25,1.88888888888889
"JORN_2Bk1_MeOH",-0.326229474496237,-2.25,2.22222222222222
"JORN_2Bk3_MeOH",-0.436965959704419,-2.25,2.88888888888889
"JORN_Ak_MeOH",-0.404514581396819,-2.25,2.18181818181818
"JORN_Bk1_MeOH",-0.347682792448467,-2.25,2.22222222222222
"KONA_Ap_MeOH",-0.347924242416963,-2.25,3.25
"KONA_Bt1_MeOH",-0.38866078233079,-2.25,2.4
"KONA_Bt3_MeOH",-0.366945665514933,-2.25,2.22222222222222
"KONA_Btk_MeOH",-0.315437431430848,-2.25,2.57142857142857
"KONZ_A_MeOH",-0.456717588464646,-2.25,2.18181818181818
"KONZ_Bt1_MeOH",-0.366923809107172,-2.25,3.71428571428571
"KONZ_Bt2_MeOH",-0.385080057485682,-2.25,2.4
"KONZ_Bt3_MeOH",-0.331234244467293,-2.25,2.18181818181818
"LENO_A1_MeOH",-0.627718268458322,-2.25,1.57142857142857
"LENO_A2_MeOH",-0.603544322759731,-2.25,1.71428571428571
"LENO_Bg_MeOH",-0.345686413146677,-2.25,3.5
"LENO_Btg1_MeOH",-0.372934552095068,-1.88888888888889,2.33333333333333
"LENO_Btg3_MeOH",-0.42323832755032,-2.25,2.22222222222222
"MLBS_Bg_MeOH",-0.718347841119384,-2.25,1.33333333333333
"MLBS_Bw1_MeOH",-0.58727340060905,-2.25,1.17647058823529
"MOAB_A_MeOH",-0.40709875099731,-2.25,2.88888888888889
"MOAB_Bk1_MeOH",-0.400643650630539,-2.05882352941176,2.16666666666667
"MOAB_Bk3_MeOH",-0.357474056096878,-2.06060606060606,2.46153846153846
"NGPRL_A_MeOH",-0.417996292433303,-2.25,2.44444444444444
"NGPRL_Bt1_MeOH",-0.478928941577363,-2.25,2.36363636363636
"NGPRL_Btk1_MeOH",-0.39848189298832,-2.25,2
"NIWO_A_MeOH",-0.610406109915561,-2.25,1.5
"NIWO_AB_MeOH",-0.539753196132182,-2.25,2.30769230769231
"NIWO_Bw1_MeOH",-0.412440146983041,-2.25,2.09090909090909
"NIWO_Bw2_MeOH",-0.379354149632234,-2.25,2.22222222222222
"OAES_Ak_MeOH",-0.535012682878265,-2.25,2.18181818181818
"OAES_Bk1_MeOH",-0.410063975706004,-2.25,2.22222222222222
"OAES_Bk2_MeOH",-0.478790303906688,-2.25,2.18181818181818
"ONAQ_Ak_MeOH",-0.605922838987532,-2.25,2.18181818181818
"ONAQ_Bk1_MeOH",-0.354757821396802,-2.06896551724138,2.28571428571429
"ONAQ_Bk2_MeOH",-0.278912498584756,-2.06451612903226,2.83333333333333
"ONAQ_Bk3_MeOH",-0.388793280398406,-2.25,2.22222222222222
"ORNL_A_MeOH",-0.58932981070306,-2.25,1.71428571428571
"ORNL_Bt1_MeOH",-0.778213702754391,-2.25,0.8
"ORNL_Bt2_MeOH",-0.679461016548251,-2.25,1.33333333333333
"ORNL_Bt3_MeOH",-0.710420265942353,-2.25,1.33333333333333
"OSBS_A_MeOH",-0.499807579158164,-2.25,2.18181818181818
"OSBS_AB_MeOH",-0.48499300879318,-2.25,2.18181818181818
"OSBS_B_MeOH",-0.444495535354556,-2.25,2.18181818181818
"OSBS_Bw3_MeOH",-0.444442407852572,-2.09523809523809,2.125
"RMNP_BC_MeOH",-0.710677458214149,-2.25,1.33333333333333
"RMNP_Bt_MeOH",-1.06432239823344,-2.11764705882353,-0.153846153846154
"SCBI_A_MeOH",-0.520958678485749,-2.25,1.86666666666667
"SCBI_BA_MeOH",-0.541902380639184,-2.25,1.5
"SCBI_Bt1_MeOH",-0.401627968878879,-2.25,2.22222222222222
"SCBI_Bt2_MeOH",-0.397308260010829,-2.25,2.18181818181818
"SCBI_Bt3_MeOH",-0.394915713670965,-2.25,2
"SERC_A_MeOH",-0.60777065974484,-2.25,1.88888888888889
"SERC_AB_MeOH",-0.547224109306686,-2.25,1.86666666666667
"SERC_Bt1_MeOH",-0.55795799798705,-2.25,1.375
"SERC_Btg1_MeOH",-0.393502852094608,-2.25,2.18181818181818
"SERC_Btg3_MeOH",-0.421379768496666,-2.25,2
"SJER_A_MeOH",-0.487085988291338,-2.25,2.22222222222222
"SJER_AB_MeOH",-0.42521568714729,-2.25,3.16666666666667
"SJER_Bw1_MeOH",-0.342513712371851,-2.25,2.15384615384615
"SOAP_A_MeOH",-0.641502593319543,-2.25,1.55555555555556
"SOAP_AB_MeOH",-0.538265427631098,-2.25,2.18181818181818
"SOAP_Bt1_MeOH",-0.536926571928638,-2.25,1.33333333333333
"SOAP_Bt3_MeOH",-0.34225259317734,-2.25,2.22222222222222
"SOAP_Bt4_MeOH",-0.376996458957037,-1.92307692307692,2
"SRER_Ak1_MeOH",-0.369387972140996,-2.25,2.22222222222222
"SRER_Ak2_MeOH",-0.512508538525699,-2.25,2
"SRER_Bw_MeOH",-0.420077570869598,-2.15384615384615,2.46153846153846
"SRER_Ck_MeOH",-0.443425681123931,-2.25,2.22222222222222
"STEI_A1_MeOH",-0.613405685476934,-2.25,1.5
"STEI_Bc2_MeOH",-0.368400708733417,-2.25,2.22222222222222
"STEI_Bs1_MeOH",-0.687074116622182,-2.25,0.888888888888889
"STER_Ap2_MeOH",-0.372926102265116,-2.25,2.18181818181818
"STER_Ap15_MeOH",-0.404369098703336,-2.25,1.71428571428571
"STER_Bk_MeOH",-0.502784303329186,-2.25,1.33333333333333
"STER_Btk1_MeOH",-0.698950830015816,-2.25,1.33333333333333
"STER_Btk2_MeOH",-0.479424459561995,-2.25,2.18181818181818
"TALL_A1_MeOH",-0.566897033466993,-2.25,1.8
"TALL_A2_MeOH",-0.438707204204838,-2.25,2
"TALL_A.B_MeOH",-0.703788062961091,-2.25,1.11111111111111
"TALL_Bt1_MeOH",-0.489512155924332,-2.25,2.14285714285714
"TALL_Bt3_MeOH",-0.331398591460264,-2.11764705882353,2
"TOOL_Af_MeOH",-0.755051879381054,-2.25,1.33333333333333
"TOOL_BCfjj_MeOH",-0.737805034981523,-2.22222222222222,1.16666666666667
"TOOL_Oaef_MeOH",-0.574629781080498,-2.25,2
"TREE_A1_MeOH",-0.535322667815341,-2.25,2.18181818181818
"TREE_BC1_MeOH",-0.40583758947571,-2.25,2.18181818181818
"TREE_Bs2_MeOH",-0.468966041582636,-2.25,2.18181818181818
"UNDE_A_MeOH",-0.644237594071571,-2.25,1.5
"UNDE_Bhs_MeOH",-0.507006820740817,-2.25,1.5
"UNDE_Bs1_MeOH",-0.454964463904349,-2.25,1.6
"UNDE_Bt1_MeOH",-0.360066156489265,-2,2.83333333333333
"WOOD_2Ck_MeOH",-0.458612143285499,-2.25,2.18181818181818
"WOOD_Apk_MeOH",-0.489364311369313,-1.95121951219512,2
"WOOD_Bk1_MeOH",-0.291726634444151,-2.08333333333333,3.4
"WREF_A2_MeOH",-0.468731245883353,-2.25,2
"WREF_Bw1_MeOH",-0.345974594629051,-2.125,2.18181818181818
"WREF_Bw2_MeOH",-0.233941926149561,-2.11764705882353,2.18181818181818
